加载 OCR 引擎...
总页数: 393, 已完成: 0
[309/393] 第309页 2.5s chars=599 ETA=3.5min
[310/393] 第310页 2.4s chars=568 ETA=3.5min
[311/393] 第311页 1.9s chars=78 ETA=3.4min
[312/393] 第312页 1.3s chars=98 ETA=3.4min
[313/393] 第313页 1.0s chars=3 ETA=3.3min
[314/393] 第314页 3.3s chars=662 ETA=3.3min
[315/393] 第315页 3.5s chars=1044 ETA=3.3min
[316/393] 第316页 2.3s chars=419 ETA=3.2min
[317/393] 第317页 2.5s chars=596 ETA=3.2min
[318/393] 第318页 2.7s chars=706 ETA=3.1min
[319/393] 第319页 2.4s chars=541 ETA=3.1min
[320/393] 第320页 2.6s chars=658 ETA=3.1min
[321/393] 第321页 2.0s chars=335 ETA=3.0min
[322/393] 第322页 2.5s chars=597 ETA=3.0min
[323/393] 第323页 1.9s chars=211 ETA=2.9min
[324/393] 第324页 3.7s chars=1121 ETA=2.9min
[325/393] 第325页 2.1s chars=307 ETA=2.8min
[326/393] 第326页 2.5s chars=540 ETA=2.8min
[327/393] 第327页 0.9s chars=3 ETA=2.8min
[328/393] 第328页 3.3s chars=679 ETA=2.7min
[329/393] 第329页 2.4s chars=580 ETA=2.7min
[330/393] 第330页 2.2s chars=373 ETA=2.6min
[331/393] 第331页 1.8s chars=185 ETA=2.6min
[332/393] 第332页 2.2s chars=494 ETA=2.6min
[333/393] 第333页 2.4s chars=601 ETA=2.5min
[334/393] 第334页 1.9s chars=229 ETA=2.5min
[335/393] 第335页 2.7s chars=727 ETA=2.4min
[336/393] 第336页 2.4s chars=468 ETA=2.4min
[337/393] 第337页 2.5s chars=567 ETA=2.3min
[338/393] 第338页 1.6s chars=151 ETA=2.3min
[339/393] 第339页 2.5s chars=527 ETA=2.3min
[340/393] 第340页 2.4s chars=520 ETA=2.2min
[341/393] 第341页 1.8s chars=248 ETA=2.2min
[342/393] 第342页 2.3s chars=425 ETA=2.1min
[343/393] 第343页 2.2s chars=346 ETA=2.1min
[344/393] 第344页 2.9s chars=727 ETA=2.0min
[345/393] 第345页 3.1s chars=907 ETA=2.0min
[346/393] 第346页 3.4s chars=1053 ETA=2.0min
[347/393] 第347页 2.7s chars=549 ETA=1.9min
[348/393] 第348页 2.3s chars=436 ETA=1.9min
[349/393] 第349页 3.1s chars=952 ETA=1.8min
[350/393] 第350页 3.3s chars=1146 ETA=1.8min
[351/393] 第351页 0.8s chars=3 ETA=1.8min
[352/393] 第352页 3.2s chars=762 ETA=1.7min
[353/393] 第353页 3.7s chars=1417 ETA=1.7min
[354/393] 第354页 3.5s chars=1102 ETA=1.6min
[355/393] 第355页 3.2s chars=1075 ETA=1.6min
[356/393] 第356页 1.2s chars=115 ETA=1.6min
[357/393] 第357页 2.1s chars=97 ETA=1.5min
[358/393] 第358页 3.2s chars=840 ETA=1.5min
[359/393] 第359页 3.5s chars=1154 ETA=1.4min
[360/393] 第360页 2.8s chars=417 ETA=1.4min
[361/393] 第361页 0.7s chars=3 ETA=1.3min
[362/393] 第362页 4.2s chars=885 ETA=1.3min
[363/393] 第363页 2.6s chars=541 ETA=1.3min
[364/393] 第364页 2.0s chars=345 ETA=1.2min
[365/393] 第365页 2.1s chars=284 ETA=1.2min
[366/393] 第366页 2.1s chars=330 ETA=1.1min
[367/393] 第367页 2.4s chars=528 ETA=1.1min
[368/393] 第368页 1.9s chars=243 ETA=1.1min
[369/393] 第369页 2.1s chars=373 ETA=1.0min
[370/393] 第370页 2.5s chars=502 ETA=1.0min
[371/393] 第371页 2.3s chars=415 ETA=0.9min
[372/393] 第372页 1.3s chars=76 ETA=0.9min
[373/393] 第373页 3.1s chars=653 ETA=0.8min
[374/393] 第374页 2.5s chars=559 ETA=0.8min
[375/393] 第375页 2.4s chars=479 ETA=0.8min
[376/393] 第376页 2.1s chars=270 ETA=0.7min
[377/393] 第377页 2.0s chars=245 ETA=0.7min
[378/393] 第378页 2.6s chars=620 ETA=0.6min
[379/393] 第379页 2.7s chars=692 ETA=0.6min
[380/393] 第380页 1.1s chars=80 ETA=0.5min
[381/393] 第381页 2.5s chars=388 ETA=0.5min
[382/393] 第382页 2.1s chars=286 ETA=0.5min
[383/393] 第383页 2.7s chars=637 ETA=0.4min
[384/393] 第384页 2.0s chars=444 ETA=0.4min
[385/393] 第385页 3.1s chars=1145 ETA=0.3min
[386/393] 第386页 2.9s chars=1097 ETA=0.3min
[387/393] 第387页 2.8s chars=1101 ETA=0.3min
[388/393] 第388页 3.0s chars=1072 ETA=0.2min
[389/393] 第389页 1.7s chars=231 ETA=0.2min
[390/393] 第390页 3.0s chars=2261 ETA=0.1min
[391/393] 第391页 3.2s chars=2223 ETA=0.1min
[392/393] 第392页 3.9s chars=931 ETA=0.0min
[393/393] 第393页 3.1s chars=584 ETA=0.0min
完成: txt/电影镜头设计-从构思到银幕-第2版.txt (543484 bytes)
